name,category,price,description
5-pc Bucket Riang,Limited Time Only,43.99,"5-pc Chicken (OR/HS), 1 Lay's x KFC Hot & Spicy Potato Chips, 1 Coleslaw (L), 1 Whipped Potato (L), choice of 2 drinks (Coleslaw is subject to availability and may be replaced with 2 Crispier Fries (M))."
9-pc Bucket Riang,Limited Time Only,69.99,"9-pc Chicken (OR/HS), 2 Lay's x KFC Hot & Spicy Potato Chips, 1 Coleslaw (L), 1 Whipped Potato (L), 1 Bottle Drink 1.5L (Coleslaw is subject to availability and may be replaced with 2 Crispier Fries (M))."
15-pc Bucket Riang,Limited Time Only,94.99,"15-pc Chicken (OR/HS), 2 Lay's x KFC Hot & Spicy Potato Chips, 1 Coleslaw (L), 1 Whipped Potato (L), 1 Bottle Drink 1.5L (Coleslaw is subject to availability and may be replaced with 2 Crispier Fries (M))."
Crispy Tenders Combo A,Limited Time Only,17.99,"1-pc Chicken (OR/HS), 3-pc Crispy Tenders, 1  Spicy BBQ Sauce, 1 Coleslaw (M), 1 Whipped Potato (M), choice of 1 drink (Coleslaw is subject to availability and may be replaced with Crispier Fries (M))."
Crispy Tenders Combo B,Limited Time Only,19.0,"6-pc Crispy Tenders, 2  Spicy BBQ Sauce, 1 Coleslaw (M), 1 Whipped Potato (M), choice of 1 drink (Coleslaw is subject to availability and may be replaced with Crispier Fries (M))."
3-pc Crispy Tenders,Limited Time Only,7.99,"3-pc Crispy Tenders, 1 Spicy BBQ Sauce"
2-pc Nasi Lemak KFC Combo (with Kari Kandar),Limited Time Only,19.0,"2-pc Chicken (OR/HS), 1 Nasi Lemak, 1 Kuah Kari Kandar, 1 Sayur Berempah, 1 Hard Boiled Egg, 1 Sambal Anchovies, Peanuts, Cucumber, choice of 1 drink"
Nasi Kandar Bowl,Limited Time Only,8.99,Nasi Kandar Bowl
Kuah Kari Kandar,Limited Time Only,1.49,Kuah Kari Kandar
Sayur Berempah,Limited Time Only,3.5,Sayur Berempah
5-pc Cempedak Balls,Limited Time Only,8.49,5-pc Cempedak Balls
Zinger Classic x Lay's Combo,KFC x Lay's Combo,19.0,"1 Zinger Classic, 1 Lay’s x KFC Hot & Spicy Potato Chips, choice of 1 drink."
Zinger Cheezy x Lay's Combo,KFC x Lay's Combo,19.69,"1 Zinger Cheezy, 1 Lay’s x KFC Hot & Spicy Potato Chips, choice of 1 drink."
Zinger Stacker x Lay's Combo,KFC x Lay's Combo,23.49,"1 Zinger Stacker, 1 Lay’s x KFC Hot & Spicy Potato Chips, choice of 1 drink."
Colonel Classic x Lay's Combo,KFC x Lay's Combo,14.99,"1 Colonel Classic, 1 Lay’s x KFC Hot & Spicy Potato Chips, choice of 1 drink."
Cheezy Twister x Lay's Combo,KFC x Lay's Combo,17.99,"1 Cheezy Twister, 1 Lay's x KFC Hot & Spicy, choice of 1 drink"
9-pc Nuggets x Lay's Combo,KFC x Lay's Combo,20.49,"9-pc Nuggets, 1 Lay’s x KFC Hot & Spicy Potato Chips, 2 Spicy BBQ Sauce, choice of 1 drink (Spicy BBQ Sauce is subject to availability and may be replaced with Jalapeño Cheese Sauce)."
